Date,Close,High,Low,Open,Volume,%K,%D
2022-01-03,178.6456756591797,179.4996045429641,174.42516992990628,174.54294702694892,104487900,,
2022-01-04,176.37835693359375,179.55847298837972,175.80907606705392,179.25420553725706,99310400,,
2022-01-05,171.68670654296875,176.83966343060843,171.41188337376713,176.29001709220518,94537600,,
2022-01-06,168.82070922851562,172.05971420324832,168.46736295896767,169.50776725909728,96904000,,
2022-01-07,168.9875030517578,170.92108956994355,167.8685761052164,169.69419533133515,86709100,,
2022-01-10,169.00714111328125,169.31140849458785,165.06144496531243,165.95462758425137,106765600,,
2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300,,
2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200,,
2022-01-13,169.00714111328125,173.355247197671,168.61452596261412,172.530777846375,84505800,,
2022-01-14,169.8708953857422,170.56776300627916,167.9274839054903,168.1728627813742,80440800,,
2022-01-18,166.6613311767578,169.35067400164021,166.27854073936825,168.33971425733603,90956700,,
2022-01-19,163.15736389160156,167.91772141458915,162.87273090521055,166.85768257513803,94815000,,
2022-01-20,161.46913146972656,166.54356549753263,161.14522951347425,163.8934762825247,91420500,,
2022-01-21,159.40794372558594,163.25548287606637,159.2999764162496,161.38078458519854,122848900,0.5329482814873704,
2022-01-24,158.63253784179688,159.29997620135896,151.84045205683918,157.06212195335075,162294600,24.504223449910626,
2022-01-25,156.82656860351562,159.75148103294072,154.11759081418975,156.04135309194953,115798400,19.945095355720667,14.994089029039555
2022-01-26,156.73825073242188,161.3513717096446,154.9028210933392,160.4778233011423,108275300,22.19768386767677,22.215667557769354
2022-01-27,156.2769012451172,160.8114981245685,155.35427426622283,159.44719215998208,121954600,20.106766957849757,20.749848727082398
2022-01-28,167.18153381347656,167.20116831659928,159.79072343360525,162.64693708008207,179935700,69.52847709313129,37.2776426395526
2022-01-31,171.54930114746094,171.76523578487254,166.37670956776643,167.0147037152971,115541600,89.32396582375289,59.653069958244636
2022-02-01,171.38243103027344,171.60817541361024,169.12494226668923,170.79351570873365,86213900,88.56768114289069,82.47337468659163
2022-02-02,172.5896759033203,172.62894490892336,170.12607747590963,171.5198276400682,84914300,96.44165194537344,91.44443297067234
2022-02-03,169.7040252685547,172.9822984461671,168.93844437078735,171.25482156772748,89418100,84.49391260705006,89.8344152317714
2022-02-04,169.41908264160156,171.0996196205451,167.73854566265803,168.72131196720835,82465400,83.1461465619001,88.02723703810786
2022-02-07,168.70162963867188,170.95215737367448,168.00385912062177,169.88094594072888,77251200,79.75262553389827,82.4642282342828
2022-02-08,171.81700134277344,172.32804392038554,168.4755875609354,168.7704203940124,74829200,94.48819614931129,85.79565608170321
2022-02-09,173.2419891357422,173.60560775677658,171.885767258212,173.01595715476017,71285000,98.32935437702642,90.856725353412
