Date,Close,High,Low,Open,Volume,EMA_fast,EMA_slow,MACD,Signal_Line
2022-01-03,178.64566040039062,179.4995892112378,174.42515503160624,174.5429321185891,104487900,178.64566040039062,178.64566040039062,0.0,178.64566040039062
2022-01-04,176.3783416748047,179.55845745447346,175.8090608575143,179.25419002967348,99310400,178.29684213491586,178.47771086516204,-0.1808687302461749,178.19219665527345
2022-01-05,171.68670654296875,176.83966343060843,171.41188337376713,176.29001709220518,94537600,177.27989819769323,177.97467350796254,-0.6947753102693071,176.89109863281251
2022-01-06,168.8206787109375,172.05968310015797,168.46733250526367,169.50773661732023,96904000,175.97847981511543,177.296599819294,-1.318120004178553,175.27701464843753
2022-01-07,168.98756408691406,170.92115130347543,167.86863673623697,169.69425662173555,86709100,174.90295431846909,176.68111569096956,-1.7781613725004775,174.01912453613286
2022-01-10,169.00718688964844,169.31145435336728,165.06148967296951,165.95467253383114,106765600,173.9959131755736,176.11267652050134,-2.116763344927733,173.016737006836
2022-01-11,171.84376525878906,171.94190783972073,167.66251389723809,169.13478740187807,76138300,173.6648134960683,175.7964608714856,-2.131647375417316,172.78214265722661
2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200,173.45259844273687,175.53638344762845,-2.083785004891581,172.68279725566413
2022-01-13,169.00718688964844,173.35529415174287,168.6145716326397,172.53082457713552,84505800,172.76868897303098,175.05273925814845,-2.2840502851174733,171.94767518246098
2022-01-14,169.8708953857422,170.56776300627916,167.9274839054903,168.1728627813742,80440800,172.32287457498654,174.66889897130352,-2.3460243963169773,171.53231922311724
2022-01-18,166.66134643554688,169.35068950665382,166.27855596311068,168.33972966979056,90956700,171.45187024584197,174.07574693161786,-2.6238766857758833,170.55812466560317
2022-01-19,163.1573486328125,167.91770571060235,162.87271567304091,166.85766697028808,94815000,170.17578999768358,173.2669766872619,-3.091186689578308,169.07796945904505
2022-01-20,161.4691162109375,166.54354975921092,161.14521428529383,163.8934607946357,91420500,168.83630172279956,172.39306109642305,-3.5567593736234926,167.55619880942353
2022-01-21,159.407958984375,163.25549850314817,159.29999166470387,161.38080003283116,122848900,167.38578745534963,171.4312016807158,-4.045414225366159,165.92655084441384
2022-01-24,158.63255310058594,159.2999915243486,151.8404666623007,157.06213706108227,162294600,166.03913601615523,170.4831536377432,-4.44401762158796,164.46775129564827
2022-01-25,156.8265838623047,159.75149657631562,154.1176058094028,156.0413682743393,115798400,164.62182030017823,169.4715558765996,-4.849735576421381,162.93951780897956
2022-01-26,156.7382354736328,161.3513560017588,154.90280601323298,160.47780767829823,108275300,163.40896109609432,168.52834695786132,-5.119385861767,161.69926134191022
2022-01-27,156.27691650390625,160.81151382611307,155.35428943492713,159.44720772831658,121954600,162.31172346652693,167.62083359090167,-5.30911012437474,160.61479237430945
2022-01-28,167.18154907226562,167.2011835771804,159.79073801782928,162.64695192499494,179935700,163.06092740587133,167.58829399692863,-4.5273665910573015,161.92814371390068
2022-01-31,171.54928588867188,171.76522050687674,166.37669476906368,167.0146888598467,115541600,164.36682871091756,167.8817008037244,-3.514872092806854,163.85237214885493
2022-02-01,171.3824005126953,171.60814485583444,169.12491215109566,170.79348529602197,86213900,165.4461474496526,168.1410118932778,-2.6948644436251925,165.358377821623
2022-02-02,172.58969116210938,172.62896017118422,170.12609251689003,171.51984280427115,84914300,166.54515417464597,168.47054369096904,-1.9253895163230652,166.80464048972027
2022-02-03,169.7040252685547,172.9822984461671,168.93844437078735,171.25482156772748,89418100,167.03113434293962,168.56191269671612,-1.5307783537764976,167.38451744548715
2022-02-04,169.4190216064453,171.09955797995624,167.73848523293438,168.72125118343195,82465400,167.3985016142482,168.62540224558495,-1.226900631336747,167.7914182776788
2022-02-07,168.7016143798828,170.95214191132882,168.00384392494493,169.88093057527257,77251200,167.5989805012689,168.6310475888663,-1.0320670875973974,167.97345749811961
2022-02-08,171.81703186035156,172.3280745287334,168.47561748502244,168.7704503704667,74829200,168.2479114795893,168.86704642379112,-0.6191349442018179,168.74217237056604
2022-02-09,173.2419891357422,173.60560775677658,171.885767258212,173.01595715476017,71285000,169.01623111899744,169.19111625430602,-0.1748851353085854,169.64213572360129
